id,0,degree,modularity_class,clustering,eigencentrality
VRSN,Information Technology,1,10,0.0,0.00636085431941476
CINF,Financials,250,7,0.4743132530120482,0.9693447076448298
NTRS,Financials,36,13,0.9634920634920635,0.18434519417519346
CXO,Energy,59,6,0.8556399766218585,0.2921691484924342
FLS,Industrials,103,10,0.8326670474014849,0.5188379069211368
FLR,Industrials,151,5,0.7918763796909493,0.744861809691749
HD,Consumer Discretionary,64,5,0.8670634920634921,0.32934728491566984
LKQ,Consumer Discretionary,116,6,0.8782608695652174,0.606396030878449
ROK,Industrials,229,8,0.5396077530069716,0.9442476850803627
INTC,Information Technology,92,8,0.8205924510272337,0.46206604802761886
DOV,Industrials,244,10,0.4978749241044323,0.9691598858230956
SCG,Utilities,141,7,0.6580547112462006,0.6235279677679202
AME,Industrials,84,5,0.9030407343660356,0.4461240501503326
AMG,Financials,170,5,0.7080403759136791,0.7932017759301329
DOW,Materials,144,6,0.789044289044289,0.7096555965395478
LLL,Industrials,188,10,0.6613380361815906,0.8501074700832805
ROP,Industrials,209,10,0.6038369525211631,0.9080971127508541
AMP,Financials,151,13,0.7318322295805739,0.7138880178354144
TMO,Health Care,14,10,0.9560439560439561,0.07173575567316902
AMT,Real Estate,21,6,0.8809523809523809,0.10008723877977779
LRCX,Information Technology,76,8,0.8571929824561404,0.3878585936797934
O,Real Estate,80,5,0.924367088607595,0.4247142437564677
YHOO,Information Technology,2,10,1.0,0.01231012836015008
BDX,Health Care,46,10,0.7565217391304347,0.21988270037147095
TRV,Financials,17,13,0.9705882352941176,0.09244171736118868
AVY,Materials,36,10,0.926984126984127,0.20074821628508194
IVZ,Financials,184,8,0.6825849370396769,0.8446097008070365
NEE,Utilities,15,7,0.9904761904761905,0.03271645764482379
NI,Utilities,125,7,0.7376774193548387,0.5914803501481977
TEL,Information Technology,71,8,0.9110663983903421,0.3803153611229313
RRC,Energy,34,6,0.8877005347593583,0.14695927201851314
FAST,Industrials,145,5,0.8056513409961685,0.7214905524524313
NBL,Energy,78,6,0.8258408258408259,0.38229281255357794
HP,Energy,50,6,0.8008163265306123,0.21470322908172676
LLTC,Information Technology,91,8,0.7345543345543346,0.4245382756493916
ADS,Information Technology,14,10,0.967032967032967,0.07585605491057901
ADP,Information Technology,219,7,0.5341208998366218,0.8941116026179171
DNB,Industrials,78,10,0.9353979353979354,0.4297576598001098
MCK,Health Care,2,12,1.0,1.525658466491842E-4
ADI,Information Technology,66,8,0.8498834498834499,0.33109690392523516
VIAB,Consumer Discretionary,146,5,0.8115257439773264,0.729687766350437
XEC,Energy,70,6,0.8115942028985508,0.3430749102520064
XEL,Utilities,85,7,0.692436974789916,0.37185873807937636
LEN,Consumer Discretionary,21,5,0.9095238095238095,0.10391008367189425
MET,Financials,174,13,0.6785595641485616,0.7928816277653163
USB,Financials,99,13,0.7594310451453309,0.4617612162297057
AZO,Consumer Discretionary,1,4,0.0,7.094838649834686E-5
PDCO,Health Care,129,10,0.7481831395348837,0.6189858266478481
TWX,Consumer Discretionary,171,5,0.7157894736842105,0.8029156540967141
PCAR,Industrials,253,10,0.47239475500345063,0.9811400069285067
TXN,Information Technology,62,8,0.8138551031200423,0.29938130728710116
